subj,block,trial,image,ptime
10,0,0,./OBJECTSALL/22827276.thl.jpg,1.5
10,0,1,./OBJECTSALL/Aconcreteblo3.jpg,1.5
10,0,2,./OBJECTSALL/Astatue113.jpg,1.5
10,0,3,./OBJECTSALL/AABSTRACT.jpg,1.5
10,0,4,./OBJECTSALL/9815480.thl.jpg,1.5
