Trial,Condition,Correct,RT
318,1,1,0.482
319,2,1,0.446
320,2,1,0.472
321,2,1,0.391
322,1,1,0.985
323,1,1,0.461
324,1,1,0.576
325,2,1,0.475
326,2,1,0.358
327,1,1,0.409
328,2,0,0.344
329,1,0,0.397
330,1,0,0.651
331,1,1,0.336
332,2,1,0.529
333,2,0,0.431
334,1,1,0.42
335,2,1,0.382
336,1,1,0.423
337,1,1,0.423
338,2,1,0.585
339,2,1,0.445
340,1,0,0.391
341,1,0,0.372
342,2,1,0.696
343,2,1,0.438
344,2,1,0.385
345,1,1,0.498
346,1,0,0.601
347,1,1,0.565
348,2,1,0.351
349,2,1,0.46
350,2,0,0.497
351,1,1,0.373
352,1,1,0.475
353,2,1,0.359
354,1,0,0.5
355,2,1,0.418
356,1,1,0.425
357,1,0,0.375
358,1,1,0.907
359,2,1,0.421
360,2,1,0.406
361,2,1,0.512
362,2,1,0.387
363,1,1,0.432
364,2,1,0.46
365,2,1,0.49
366,2,1,0.427
367,2,1,0.394
368,2,1,0.532
369,1,1,0.618
370,1,1,0.98
371,2,1,0.593
372,1,1,0.705
373,2,1,0.382
374,1,1,0.562
375,1,1,0.326
376,2,1,0.588
377,2,1,0.476
378,1,0,0.506
379,2,1,0.34
380,1,1,0.729
381,1,1,0.355
382,2,1,0.378
383,1,1,0.484
384,2,1,0.387
385,2,1,0.364
386,2,1,0.495
387,2,0,0.389
388,2,1,0.92
389,1,1,0.732
390,2,1,0.799
391,1,0,0.7
392,1,0,0.374
393,2,1,0.386
394,2,1,0.695
395,2,1,0.75
396,1,1,0.547
397,2,1,0.453
398,1,0,0.628
399,1,1,0.525
400,1,1,0.567
401,1,1,0.61
402,1,1,0.48
403,2,1,0.529
404,2,1,0.763
405,2,1,0.325
406,1,0,0.661
407,2,1,0.816
408,1,1,0.525
409,2,1,0.407
410,2,1,0.393
411,2,0,2.219
412,1,1,0.64
413,1,1,0.493
414,1,0,0.382
415,1,0,0.641
416,2,1,0.647
417,2,1,0.44
418,1,0,0.324
419,1,0,0.353
420,1,1,0.521
421,2,1,0.402
422,2,0,0.378
423,1,1,0.429
424,2,0,0.381
425,1,0,0.364
426,2,1,0.496
427,2,1,0.417
428,2,1,0.477
429,2,0,1.82
430,2,1,0.379
431,1,1,0.532
432,2,0,0.64
433,2,1,0.342
434,1,1,0.799
435,1,1,0.39
436,1,0,1.137
437,2,0,0.572
438,1,1,0.468
439,2,1,0.386
440,1,1,0.459
441,2,1,0.459
442,1,1,0.515
443,2,0,0.515
444,1,1,0.419
445,2,1,0.425
446,1,0,0.591
447,2,1,0.368
448,1,0,0.505
449,1,1,0.472
450,2,1,0.57
451,1,1,0.397
452,1,1,0.429
453,2,1,0.351
454,2,1,0.677
455,1,1,0.357
456,2,1,0.434
457,2,1,0.475
458,1,1,0.521
459,1,1,0.48
460,1,1,0.41
461,1,1,0.466
462,1,1,0.588
463,2,1,0.448
464,2,1,0.339
465,2,1,0.49
